text,entity_type,entity_value
Paris will host the event in 1985-04-25,GPE,Paris
London will host the event in 2004-12-27,GPE,London
Paris will host the event in 1980-10-12,GPE,Paris
John works at Microsoft in Tokyo since 2002-04-28,PERSON,John
John works at Microsoft in Tokyo since 2002-04-28,ORG,Microsoft
John works at Microsoft in Tokyo since 2002-04-28,GPE,Tokyo
The meeting with John from Microsoft is scheduled for 2009-08-09,PERSON,John
The meeting with John from Microsoft is scheduled for 2009-08-09,ORG,Microsoft
The meeting with John from Meta is scheduled for 1977-03-11,PERSON,John
The meeting with John from Meta is scheduled for 1977-03-11,ORG,Meta
John attended a conference on 2000-10-29,PERSON,John
Sara attended a conference on 1973-06-06,PERSON,Sara
Alex attended a conference on 1984-10-05,PERSON,Alex
Microsoft announced new projects starting 1999-12-19,ORG,Microsoft
The meeting with Sara from Meta is scheduled for 1994-05-29,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1994-05-29,ORG,Meta
Sara works at Microsoft in London since 1992-02-06,PERSON,Sara
Sara works at Microsoft in London since 1992-02-06,ORG,Microsoft
Sara works at Microsoft in London since 1992-02-06,GPE,London
John attended a conference on 2009-05-22,PERSON,John
The meeting with Mary from Amazon is scheduled for 1978-04-04,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 1978-04-04,ORG,Amazon
Microsoft announced new projects starting 2004-10-21,ORG,Microsoft
Tokyo will host the event in 2013-10-26,GPE,Tokyo
Microsoft announced new projects starting 2024-08-06,ORG,Microsoft
Mary works at Microsoft in London since 1970-09-22,PERSON,Mary
Mary works at Microsoft in London since 1970-09-22,ORG,Microsoft
Mary works at Microsoft in London since 1970-09-22,GPE,London
The meeting with Mary from Microsoft is scheduled for 2002-10-16,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2002-10-16,ORG,Microsoft
Google announced new projects starting 2008-07-13,ORG,Google
Meta announced new projects starting 2003-08-10,ORG,Meta
Microsoft announced new projects starting 1974-10-17,ORG,Microsoft
The meeting with Sara from Amazon is scheduled for 2013-05-14,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2013-05-14,ORG,Amazon
John attended a conference on 2021-01-07,PERSON,John
Mary works at Meta in Tokyo since 1976-05-16,PERSON,Mary
Mary works at Meta in Tokyo since 1976-05-16,ORG,Meta
Mary works at Meta in Tokyo since 1976-05-16,GPE,Tokyo
John works at Microsoft in London since 2022-04-28,PERSON,John
John works at Microsoft in London since 2022-04-28,ORG,Microsoft
John works at Microsoft in London since 2022-04-28,GPE,London
The meeting with John from Google is scheduled for 2011-09-07,PERSON,John
The meeting with John from Google is scheduled for 2011-09-07,ORG,Google
Google announced new projects starting 1989-08-13,ORG,Google
The meeting with John from Microsoft is scheduled for 1997-03-19,PERSON,John
The meeting with John from Microsoft is scheduled for 1997-03-19,ORG,Microsoft
Alex attended a conference on 1999-08-28,PERSON,Alex
The meeting with John from Amazon is scheduled for 1980-07-10,PERSON,John
The meeting with John from Amazon is scheduled for 1980-07-10,ORG,Amazon
Microsoft announced new projects starting 1975-08-07,ORG,Microsoft
Google announced new projects starting 1997-12-15,ORG,Google
Alex attended a conference on 2006-04-30,PERSON,Alex
Mary attended a conference on 1971-02-20,PERSON,Mary
Microsoft announced new projects starting 2000-05-22,ORG,Microsoft
Google announced new projects starting 1995-02-04,ORG,Google
Amazon announced new projects starting 2010-01-28,ORG,Amazon
Microsoft announced new projects starting 2005-11-08,ORG,Microsoft
Microsoft announced new projects starting 2012-07-28,ORG,Microsoft
Alex attended a conference on 2008-03-04,PERSON,Alex
Alex works at Amazon in Paris since 1992-08-12,PERSON,Alex
Alex works at Amazon in Paris since 1992-08-12,ORG,Amazon
Alex works at Amazon in Paris since 1992-08-12,GPE,Paris
Paris will host the event in 2007-07-31,GPE,Paris
Microsoft announced new projects starting 2012-03-09,ORG,Microsoft
John works at Meta in New York since 1997-11-03,PERSON,John
John works at Meta in New York since 1997-11-03,ORG,Meta
Amazon announced new projects starting 1981-04-15,ORG,Amazon
Sara attended a conference on 2017-06-26,PERSON,Sara
Sara attended a conference on 2024-05-27,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1982-03-07,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1982-03-07,ORG,Meta
Tokyo will host the event in 2009-04-19,GPE,Tokyo
Paris will host the event in 1972-12-03,GPE,Paris
Google announced new projects starting 2002-01-20,ORG,Google
Amazon announced new projects starting 2024-08-11,ORG,Amazon
John attended a conference on 1990-09-15,PERSON,John
Paris will host the event in 2013-12-23,GPE,Paris
London will host the event in 2017-07-21,GPE,London
The meeting with Sara from Meta is scheduled for 1997-11-24,PERSON,Sara
The meeting with Sara from Meta is scheduled for 1997-11-24,ORG,Meta
Sara works at Amazon in Paris since 2009-10-16,PERSON,Sara
Sara works at Amazon in Paris since 2009-10-16,ORG,Amazon
Sara works at Amazon in Paris since 2009-10-16,GPE,Paris
Microsoft announced new projects starting 1991-08-20,ORG,Microsoft
Microsoft announced new projects starting 1990-08-02,ORG,Microsoft
Sara attended a conference on 2013-07-03,PERSON,Sara
Meta announced new projects starting 2016-01-13,ORG,Meta
The meeting with Mary from Google is scheduled for 1986-11-03,PERSON,Mary
The meeting with Mary from Google is scheduled for 1986-11-03,ORG,Google
Alex attended a conference on 2009-04-26,PERSON,Alex
Microsoft announced new projects starting 1970-06-14,ORG,Microsoft
London will host the event in 2024-03-13,GPE,London
The meeting with Sara from Microsoft is scheduled for 1971-08-21,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1971-08-21,ORG,Microsoft
John works at Amazon in Tokyo since 2024-12-06,PERSON,John
John works at Amazon in Tokyo since 2024-12-06,ORG,Amazon
John works at Amazon in Tokyo since 2024-12-06,GPE,Tokyo
Sara attended a conference on 1978-05-02,PERSON,Sara
The meeting with John from Amazon is scheduled for 2021-06-16,PERSON,John
The meeting with John from Amazon is scheduled for 2021-06-16,ORG,Amazon
John attended a conference on 2003-04-15,PERSON,John
Sara works at Meta in New York since 2001-12-01,PERSON,Sara
