text,entity_type,entity_value
Mary works at Amazon in London since 1992-09-21,PERSON,Mary
Mary works at Amazon in London since 1992-09-21,ORG,Amazon
Mary works at Amazon in London since 1992-09-21,GPE,London
Tokyo will host the event in 1997-05-25,GPE,Tokyo
The meeting with Mary from Google is scheduled for 1989-07-27,PERSON,Mary
The meeting with Mary from Google is scheduled for 1989-07-27,ORG,Google
Mary attended a conference on 1978-05-18,PERSON,Mary
Microsoft announced new projects starting 1992-06-06,ORG,Microsoft
Mary attended a conference on 1987-09-04,PERSON,Mary
Alex works at Meta in London since 1991-08-29,PERSON,Alex
Alex works at Meta in London since 1991-08-29,ORG,Meta
Alex works at Meta in London since 1991-08-29,GPE,London
The meeting with John from Amazon is scheduled for 1972-10-03,PERSON,John
The meeting with John from Amazon is scheduled for 1972-10-03,ORG,Amazon
Meta announced new projects starting 2003-01-10,ORG,Meta
Paris will host the event in 1993-04-06,GPE,Paris
The meeting with Mary from Microsoft is scheduled for 2006-10-27,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2006-10-27,ORG,Microsoft
Google announced new projects starting 2012-09-10,ORG,Google
Tokyo will host the event in 1980-04-03,GPE,Tokyo
London will host the event in 1978-10-08,GPE,London
Meta announced new projects starting 1984-08-09,ORG,Meta
Amazon announced new projects starting 2019-11-16,ORG,Amazon
Tokyo will host the event in 2016-06-05,GPE,Tokyo
Sara works at Microsoft in Tokyo since 2023-02-28,PERSON,Sara
Sara works at Microsoft in Tokyo since 2023-02-28,ORG,Microsoft
Sara works at Microsoft in Tokyo since 2023-02-28,GPE,Tokyo
John works at Microsoft in New York since 1989-05-08,PERSON,John
John works at Microsoft in New York since 1989-05-08,ORG,Microsoft
Mary attended a conference on 2006-05-01,PERSON,Mary
Paris will host the event in 2014-01-15,GPE,Paris
London will host the event in 2009-06-10,GPE,London
The meeting with Alex from Amazon is scheduled for 1993-12-07,PERSON,Alex
The meeting with Alex from Amazon is scheduled for 1993-12-07,ORG,Amazon
Alex attended a conference on 2024-12-18,PERSON,Alex
The meeting with John from Amazon is scheduled for 1991-06-19,PERSON,John
The meeting with John from Amazon is scheduled for 1991-06-19,ORG,Amazon
The meeting with John from Microsoft is scheduled for 2004-11-11,PERSON,John
The meeting with John from Microsoft is scheduled for 2004-11-11,ORG,Microsoft
Sara works at Meta in London since 2009-03-02,PERSON,Sara
Sara works at Meta in London since 2009-03-02,ORG,Meta
Sara works at Meta in London since 2009-03-02,GPE,London
Sara works at Google in Paris since 1996-02-10,PERSON,Sara
Sara works at Google in Paris since 1996-02-10,ORG,Google
Sara works at Google in Paris since 1996-02-10,GPE,Paris
The meeting with Alex from Microsoft is scheduled for 2015-02-13,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2015-02-13,ORG,Microsoft
Microsoft announced new projects starting 2019-01-14,ORG,Microsoft
Alex attended a conference on 1994-11-02,PERSON,Alex
Paris will host the event in 1991-11-19,GPE,Paris
Microsoft announced new projects starting 2019-10-01,ORG,Microsoft
Meta announced new projects starting 2015-12-29,ORG,Meta
Alex attended a conference on 1981-09-30,PERSON,Alex
John attended a conference on 1988-04-12,PERSON,John
Paris will host the event in 2018-06-12,GPE,Paris
Amazon announced new projects starting 2020-10-09,ORG,Amazon
Tokyo will host the event in 2022-08-23,GPE,Tokyo
Amazon announced new projects starting 2009-03-18,ORG,Amazon
London will host the event in 1992-10-24,GPE,London
The meeting with Mary from Meta is scheduled for 2013-03-29,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2013-03-29,ORG,Meta
Meta announced new projects starting 1994-07-12,ORG,Meta
Alex works at Meta in Paris since 2011-06-21,PERSON,Alex
Alex works at Meta in Paris since 2011-06-21,ORG,Meta
Alex works at Meta in Paris since 2011-06-21,GPE,Paris
Meta announced new projects starting 2002-02-26,ORG,Meta
The meeting with Mary from Amazon is scheduled for 1993-10-21,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 1993-10-21,ORG,Amazon
London will host the event in 2014-05-05,GPE,London
John works at Microsoft in London since 1979-05-29,PERSON,John
John works at Microsoft in London since 1979-05-29,ORG,Microsoft
John works at Microsoft in London since 1979-05-29,GPE,London
Tokyo will host the event in 2012-03-27,GPE,Tokyo
The meeting with Sara from Microsoft is scheduled for 1978-09-08,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1978-09-08,ORG,Microsoft
Microsoft announced new projects starting 1996-08-27,ORG,Microsoft
Amazon announced new projects starting 1991-11-22,ORG,Amazon
Sara works at Meta in Tokyo since 1997-10-16,PERSON,Sara
